id,last_name,first_name,team,position,status,opponent,minutes,points,threes, threes_attempted,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed, field goals,field_goals_missed,double doubles,triple doubles,usage,odds_spread,odds_total,draftkings_price,draftkings_positions,draftkings_id,fanduel_price,fanduel_positions,fanduel_id,yahoo_price,yahoo_positions,yahoo_id,draftday_price,draftday_positions,draftday_id,fantasydraft_price,fantasydraft_positions,fantasydraft_id,fantasyfeud_price,fantasyfeud_positions,fantasyfeud_id,starfantasyleagues_price,starfantasyleagues_positions,starfantasyleagues_id,fantasyaces_price,fantasyaces_positions,fantasyaces_id,sportstradex_price,sportstradex_positions,sportstradex_id,fantasyscore_price,fantasyscore_positions,fantasyscore_id,fantasyup_price,fantasyup_positions,fantasyup_id,victiv_price,victiv_positions,victiv_id,draftster_price,draftster_positions,draftster_id,fanday_price,fanday_positions,fanday_id,moneyball_price,moneyball_positions,moneyball_id,owntheplay_price,owntheplay_positions,owntheplay_id,fantasyhub_price,fantasyhub_positions,fantasyhub_id,draftpot_price,draftpot_positions,draftpot_id,draftfury_price,draftfury_positions,draftfury_id,draftstars_price,draftstars_positions,draftstars_id,rosters_price,rosters_positions,rosters_id,draft_price,draft_positions,draft_id,starstreet_price,starstreet_positions,starstreet_id,draftstreet_price,draftstreet_positions,draftstreet_id,fanthrowdown_price,fanthrowdown_positions,fanthrowdown_id
5449,Ball,Lonzo,LAL,PG,,CHI,34.00,11.83,1.50,5.32,8.23,9.06,1.67,0.86,2.68,3.17,0.99,0.54,4.67,7.95,0.32,0.121,19.01,LAL by 6.0,211.5,7400,PG,946714,7700,PG,80806,30,PG,5764,0,,,13500,PG,946714,0,,,0,,,0,,,0,,,6400,G,14872,0,,,0,,,0,PG,,0,,,10600,PG,Lonzo Ball,0,,,0,,,0,,,0,,,13950,PG,1500324432,0,,,0,,,0,,,0,,,0,,
5454,Markkanen,Lauri,CHI,PF,,@ LAL,32.00,16.33,2.61,7.25,8.98,1.58,0.54,0.75,1.44,3.01,2.48,0.57,5.62,7.13,0.35,0.000,20.89,LAL by 6.0,211.5,6500,PF,949131,6200,PF,80812,25,PF,5769,0,,,10500,PF,949131,0,,,0,,,0,,,0,,,5200,F,14930,0,,,0,,,0,PF,,0,,,8400,PF,Lauri Markkanen,0,,,0,,,0,,,0,,,13300,PF,1500324532,0,,,0,,,0,,,0,,,0,,
5473,Kuzma,Kyle,LAL,SF/PF,,CHI,35.00,17.47,1.71,4.86,8.23,1.90,0.64,0.14,1.78,5.10,2.14,0.58,6.81,7.05,0.36,0.000,19.46,LAL by 6.0,211.5,7200,SF;PF,844476,6500,PF,58377,26,SF,5840,0,,,12300,PF,844476,0,,,0,,,0,,,0,,,5600,F,14877,0,,,0,,,0,PF,,0,,,8100,PF,Kyle Kuzma,0,,,0,,,0,,,0,,,11450,SF;PF,1500324452,0,,,0,,,0,,,0,,,0,,
2846,Lopez,Brook,LAL,C,,CHI,26.00,16.69,1.72,4.72,5.33,2.16,0.39,1.50,1.99,4.39,2.75,0.75,6.11,6.91,0.06,0.001,25.76,LAL by 6.0,211.5,6000,C,330047,6300,C,9621,25,C,4472,0,,330047,10200,C,330047,0,,Brook Lopez,0,,3442,0,,19291,0,,,4900,C,6470,0,,5852a4402364510011044976,0,,Brook_Lopez_Bkn,0,C,c179fb5c-9845-4e37-aef7-6e00d97548eb,0,,,8100,C,Brook Lopez,0,,,0,,,0,,c179fb5c-9845-4e37-aef7-6e00d97548eb,0,,,12300,C,1500124142,0,,5852a4402364510011044976,0,,,0,,1894,0,,4472,0,,Brook Lopez
5360,Ingram,Brandon,LAL,SG/SF,,CHI,36.00,14.90,0.58,1.95,5.75,3.16,1.26,0.55,2.23,5.25,2.66,1.67,5.83,7.52,0.06,0.001,19.65,LAL by 6.0,211.5,6200,SG;SF,887665,6200,SF,66048,24,SF,5601,0,,887665,12300,SF,887665,0,,,0,,22911,0,,52099,0,,,5200,F,12984,0,,5852a44223645100110449f6,0,,,0,SF,,0,,,8300,SF,Brandon Ingram,0,,,0,,,0,,,0,,,11750,SG;SF,1500000252,0,,5852a44223645100110449f6,0,,,0,,,0,,,0,,
3946,Randle,Julius,LAL,PF/C,,CHI,25.00,13.13,0.43,1.48,8.55,2.38,0.47,0.57,2.33,4.53,2.78,1.12,4.96,4.92,0.30,0.003,22.54,LAL by 6.0,211.5,5200,PF;C,786412,5300,PF,42669,18,C,5318,0,,786412,9900,PF,786412,0,,Julius Randle,0,,10094,0,,20742,0,,,4600,F,8446,0,,5852a4402364510011044983,0,,Julius_Randle_LAL,0,PF,24c85a15-686e-4161-934b-40948188fa36,0,,,6900,PF,Julius Randle,0,,,0,,,0,,24c85a15-686e-4161-934b-40948188fa36,0,,,10100,PF;C,1500119442,0,,5852a4402364510011044983,0,,,0,,,0,,,0,,
5342,Dunn,Kris,CHI,PG/SG,,@ LAL,29.00,12.32,0.89,2.83,4.18,4.24,2.16,0.75,3.45,4.39,0.87,0.55,5.28,7.75,0.02,0.001,25.38,LAL by 6.0,211.5,5600,PG;SG,698968,6200,SG,23802,18,PG,5636,0,,698968,10900,PG,698968,0,,,0,,22917,0,,51778,0,,,2600,G,12980,0,,5852a432236451001104453f,0,,,0,PG,,0,,,7900,PG,Kris Dunn,0,,,0,,,0,,,0,,,10350,PG;SG,1500121742,0,,5852a432236451001104453f,0,,,0,,,0,,,0,,
3506,Holiday,Justin,CHI,SG/SF,,@ LAL,34.00,14.96,2.38,6.76,4.52,2.09,1.45,0.53,1.42,3.23,1.36,0.39,5.61,8.05,0.03,0.000,20.06,LAL by 6.0,211.5,6300,SG;SF,395365,5300,SG,16604,20,SG,5142,0,,395365,13500,SG,395365,0,,Justin Holiday,0,,5022,0,,19703,0,,,4700,G,6938,0,,5852a439236451001104477f,0,,Justin_Holiday_Chi,0,SG,05dea31d-f1ff-491b-9f17-8be88b26f413,0,,,7700,SG,Justin Holiday,0,,,0,,,0,,05dea31d-f1ff-491b-9f17-8be88b26f413,0,,,10800,SG,1500126032,0,,5852a439236451001104477f,0,,,0,,,0,,5142,0,,Justin Holiday
5377,Valentine,Denzel,CHI,SG/SF,,@ LAL,33.00,12.99,2.63,7.25,5.45,3.11,0.92,0.20,1.50,2.40,0.30,0.08,5.03,8.12,0.05,0.001,19.32,LAL by 6.0,211.5,5300,SG;SF,712595,5100,SF,24546,13,SF,5645,0,,712595,9400,SG,712595,0,,,0,,22896,0,,51889,0,,,2600,G,12997,0,,5852a43723645100110446e4,0,,,0,SG,,0,,,7000,SF,Denzel Valentine,0,,,0,,,0,,,0,,,9600,SG;SF,1500118542,0,,5852a43723645100110446e4,0,,,0,,,0,,,0,,
3689,Caldwell-Pope,Kentavious,LAL,SG,,CHI,35.00,12.47,1.95,6.15,4.71,3.03,1.36,0.29,1.85,2.47,1.68,0.41,4.42,7.13,0.02,0.000,16.55,LAL by 6.0,211.5,5200,SG,602730,5600,SG,15636,18,SG,5159,0,,602730,10400,SG,602730,0,,Kentavious Caldwell-Pope,0,,7897,0,,19375,0,,,3900,G,6573,0,,5852a4472364510011044bb2,0,,Kentavious_Caldwell-Pope_Det,0,SG,cecc054e-b9ec-4c71-8bbb-5ee665a8c3a9,0,,,7300,SG,Kentavious Caldwell-Pope,0,,,0,,,0,,cecc054e-b9ec-4c71-8bbb-5ee665a8c3a9,0,,,11000,SG,1500125072,0,,5852a4472364510011044bb2,0,,,0,,10481,0,,5159,0,,Kentavious Caldwell-Pope
3910,Clarkson,Jordan,LAL,PG/SG,,CHI,25.00,15.15,1.46,4.41,3.06,3.59,0.80,0.06,2.14,4.49,1.79,0.48,5.95,7.16,0.02,0.000,26.30,LAL by 6.0,211.5,5200,PG;SG,551975,4800,SG,20640,18,PG,5357,0,,551975,12000,PG,551975,0,,Jordan Clarkson,0,,10095,0,,20778,0,,,3900,G,8445,0,,5852a43e23645100110448c2,0,,Jordan_Clarkson_LAL,0,PG,03d77214-5780-4715-8df2-13de3af5ea2d,0,,,6600,SG,Jordan Clarkson,0,,,0,,,0,,03d77214-5780-4715-8df2-13de3af5ea2d,0,,,9050,PG;SG,1500119382,0,,5852a43e23645100110448c2,0,,,0,,,0,,,0,,
2847,Lopez,Robin,CHI,C,,@ LAL,29.00,12.12,0.00,0.00,5.99,1.59,0.23,1.33,1.46,5.45,1.22,0.35,5.45,5.05,0.05,0.000,18.77,LAL by 6.0,211.5,5000,C,330050,4800,C,9873,19,C,4477,0,,330050,9200,C,330050,0,,Robin Lopez,0,,3683,0,,19455,0,,,4400,C,6869,0,,5852a43423645100110445de,0,,Robin_Lopez_NY,0,C,e521ef3c-7892-4f14-a560-df320872d59a,0,,,7000,C,Robin Lopez,0,,,0,,,0,,e521ef3c-7892-4f14-a560-df320872d59a,0,,,9000,C,1500118762,0,,5852a43423645100110445de,0,,,0,,1969,0,,4477,0,,Robin Lopez
5042,Portis,Bobby,CHI,PF,,@ LAL,20.00,10.75,0.90,2.76,6.34,0.74,0.29,0.26,0.78,3.51,1.03,0.38,4.41,4.85,0.06,0.000,22.94,LAL by 6.0,211.5,5200,PF,750703,4200,PF,42156,19,PF,5482,0,,750703,10800,PF,750703,0,,Bobby Portis,0,,21185,0,,43680,0,,,2600,F,9672,0,,5852a42f23645100110443f4,0,,Bobby_Portis_Chi,0,PF,68b7aac9-02fd-4bd8-b10c-6702d2c5eb98,0,,,6400,PF,Bobby Portis,0,,,0,,,0,,68b7aac9-02fd-4bd8-b10c-6702d2c5eb98,0,,,8350,PF,1500118672,0,,5852a42f23645100110443f4,0,,,0,,,0,,,0,,
5011,Grant,Jerian,CHI,PG/SG,,@ LAL,22.00,7.44,0.88,2.65,2.85,4.07,1.02,0.19,1.23,1.71,1.38,0.29,2.59,3.56,0.01,0.000,15.87,LAL by 6.0,211.5,4600,PG;SG,552319,3800,PG,15996,15,PG,5479,0,,552319,8900,PG,552319,0,,Jerian Grant,0,,21165,0,,43676,0,,,4000,G,9673,0,,5852a4352364510011044637,0,,Jerian_Grant_NY,0,PG,b7bffcc9-dad4-4363-b2db-41d2c25475b5,0,,,6300,PG,Jerian Grant,0,,,0,,,0,,b7bffcc9-dad4-4363-b2db-41d2c25475b5,0,,,8800,PG,1500118722,0,,5852a4352364510011044637,0,,,0,,,0,,,0,,
5166,Felicio,Cristiano,CHI,PF/C,,@ LAL,17.00,5.25,0.00,0.00,4.61,0.78,0.37,0.33,0.75,2.22,0.81,0.45,2.22,1.38,0.00,0.000,12.42,LAL by 6.0,211.5,3000,PF;C,839018,3000,C,63478,10,C,5522,0,,839018,6100,C,839018,0,,Cristiano Felicio,0,,22480,0,,43858,0,,,2600,F,10441,0,,5852a4362364510011044689,0,,Cristiano_Felicio_Chi,0,C,3f64e9a6-6e1e-499b-aec8-764c99f634b2,0,,,5100,C,Cristiano Felicio,0,,,0,,,0,,3f64e9a6-6e1e-499b-aec8-764c99f634b2,0,,,5000,PF;C,1500118652,0,,5852a4362364510011044689,0,,,0,,,0,,,0,,
5599,Blakeney,Antonio,CHI,PG,,@ LAL,17.00,7.79,0.79,2.76,2.16,1.01,0.39,0.03,1.17,2.22,0.98,0.38,3.01,4.55,0.00,0.000,23.61,LAL by 6.0,211.5,3000,PG,886386,3000,PG,66114,10,PG,5876,0,,,6000,PG,886386,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,PG,,0,,,4000,PG,Antonio Blakeney,0,,,0,,,0,,,0,,,5000,SG,1500324572,0,,,0,,,0,,,0,,,0,,
2706,Brewer,Corey,LAL,SG/SF,,CHI,15.00,4.38,0.19,0.94,2.15,1.28,0.86,0.26,0.70,1.55,0.71,0.26,1.74,2.20,0.00,0.000,13.67,LAL by 6.0,211.5,3000,SG;SF,263217,3200,SF,9606,10,SF,4285,0,,263217,6300,SG,263217,0,,Corey Brewer,0,,3514,0,,19395,0,,,2600,F,6732,0,,5852a4382364510011044728,0,,Corey_Brewer_Hou,0,SG,47efff84-454e-4ad9-b140-7184ec4a5008,0,,,5100,SF,Corey Brewer,0,,,0,,,0,,47efff84-454e-4ad9-b140-7184ec4a5008,0,,,5000,SG;SF,1500119482,0,,5852a4382364510011044728,0,,,0,,1876,0,,4285,0,,Corey Brewer
3137,Pondexter,Quincy,CHI,SG/SF,,@ LAL,7.00,2.52,0.47,1.28,0.84,0.37,0.10,0.12,0.29,0.38,0.35,0.11,0.85,1.23,0.00,0.000,15.82,LAL by 6.0,211.5,3000,SG;SF,329825,3000,SF,12357,10,SG,4757,0,,329825,6000,SF,329825,0,,Quincy Pondexter,0,,3628,0,,19481,0,,,2600,F,6689,0,,5852a44e2364510011044dc5,0,,Quincy_Pondexter_NO,0,SF,e58c0cb2-4645-4297-abd9-02315fba4683,0,,,4200,SF,Quincy Pondexter,0,,,0,,,0,,e58c0cb2-4645-4297-abd9-02315fba4683,0,,,5000,SG,1500119322,0,,5852a44e2364510011044dc5,0,,,0,,1913,0,,4757,0,,Quincy Pondexter
2419,Bogut,Andrew,LAL,C,,CHI,4.00,0.59,0.00,0.00,1.67,0.47,0.09,0.25,0.32,0.28,0.03,0.04,0.28,0.22,0.00,0.000,8.61,LAL by 6.0,211.5,3000,C,229912,3000,C,9601,10,C,3927,0,,229912,6000,C,229912,0,,Andrew Bogut,0,,3544,0,,19554,0,,,2600,C,6589,0,,5852a4482364510011044bdc,0,,Andrew_Bogut_GS,0,C,26734851-dce6-4e5b-8291-594a7ebd6658,0,,,4100,C,Andrew Bogut,0,,,0,,,0,,26734851-dce6-4e5b-8291-594a7ebd6658,0,,,5000,C,1500129732,0,,5852a4482364510011044bdc,0,,,0,,1855,0,,3927,0,,Andrew Bogut
5476,Hart,Josh,LAL,PG/SG,,CHI,5.00,1.27,0.12,0.43,0.91,0.21,0.26,0.06,0.14,0.37,0.17,0.06,0.49,0.64,0.00,0.000,11.10,LAL by 6.0,211.5,3000,PG;SG,741892,3000,SG,40562,10,SG,5843,0,,,6000,SG,741892,0,,,0,,,0,,,0,,,2600,G,14876,0,,,0,,,0,SG,,0,,,5000,SG,Josh Hart,0,,,0,,,0,,,0,,,5000,PG;SG,1500324512,0,,,0,,,0,,,0,,,0,,
